UF-Ano;Nascimentos;Porc_prematuros;Porc_cesareas;Porc_grav_multipla;Porc_anomalias;Porc_nenhuma_consulta;Porc_consulta7mais;Porc_feminino;Porc_raca_mae_branca;Porc_raca_mae_negra;Porc_peso_menor_2500;Porc_apgar1_menor_7;Porc_apgar5_menor_7;GINI;T_DES;T_ANALF15M;PAREDE;T_AGUA;T_BANAGUA;AGUA_ESGOTO;T_LIXO;Cluster;Ano;UF;Estado;UF;Longitude;Latitude
PI-2010;-0.4928779802141558;-1.2518778043443057;0.3934152923810774;-0.5925435706702004;-1.7259294931743066;-0.8063084142794983;-0.23034535920780633;-0.2852297681327287;-0.6751972288512202;0.7972857562153126;-0.029802388339251116;-0.25760219290236447;-0.35864276656095984;0.028156633801733198;-0.8321740522542386;1.0436710357104375;1.1420836935606553;0.06425067352525168;-0.3085548662191869;-0.405851396552722;-0.32811243675587803;2;2010;PI;Piauí;PI;-6.9953179999999975;-41.807852000000004
PR-2000;0.5251474961155361;0.32706123918039587;0.1805938427001997;0.3842674187642018;-0.04735834245303222;-0.7378746695229558;0.7778677022005934;1.157584698189048;-1.7163457937523572;1.0588238476379337;0.42518334122963025;-0.27913136657157483;-0.24353777643895186;-0.2252530704138515;0.32944960293637054;-0.6339706411398331;-1.2049103169532338;0.8062734895762786;0.8038098326509082;-0.8618983707236826;0.6563417365427703;3;2000;PR;Paraná;PR;-24.722653;-51.09548
PR-2010;0.3105556358002961;0.6571011547469282;1.324079649960035;1.3527506088085939;0.44504320988829377;-0.8463107147381401;2.0477546896803704;-0.19884435496245353;1.953116572600662;-1.3965533902718823;1.071001942744866;-0.4962536178181527;-0.5421455850410448;-1.9991209999229418;-1.5443746019482696;-1.0411652228996076;-0.5861854979656625;0.9401854196604866;1.1704300324133992;-1.116137139404674;0.8887823052382854;0;2010;PR;Paraná;PR;-24.722653;-51.09548
RJ-2000;1.1487485768959076;0.5775221176803074;0.6130023629900926;0.40952637953622867;0.14219849944749813;-0.15141464459466242;0.656906450335854;0.8372148297802722;-2.711602945698065;2.1181081571739577;1.0872544418192869;0.2512827404262288;0.0359898556522642;-0.2252530704138515;1.387926971619568;-0.9960605923046786;-2.1848466688003763;0.667723916891751;0.942355256026365;-0.952909914376022;0.37657164028482143;3;2000;RJ;Rio de Janeiro;RJ;-22.7641;-42.1726
RJ-2010;0.8054141262744356;1.1564226401929167;1.4976556245747101;1.3244462766409582;0.72892573333156;-0.49997328656584816;1.0910771969788589;0.15726917675288857;0.4149066920788249;-0.09885263198428375;1.6671631402119063;-0.10151789915863628;-0.42399917036628765;-0.47866277462943624;-0.6430725269906512;-1.2929994103879603;-0.8795937396815215;0.889751056382019;1.0723978916856394;-1.046889225756155;0.7215513078510146;0;2010;RJ;Rio de Janeiro;RJ;-22.7641;-42.1726
RN-2000;-0.43792066893718723;-1.0174861683249845;-1.0605944485484968;-0.8181170240131678;-0.8203045396046393;0.40830110148930154;-0.830534125715567;0.7059327275653801;-4.328069901638291;2.1021802229122115;-0.5545731898478089;0.28904841992035246;-0.06975732559146046;0.7883857464484874;1.2405751337518378;1.3581505434695245;1.2460818726024374;-0.761829414656555;-0.6121544040852609;0.7970837891129788;0.14518283886847216;1;2000;RN;Rio Grande do Norte;RN;-5.6070379999999975;-36.8261
RN-2010;-0.506625136710218;0.05241626733241126;0.7609636125255486;-0.5016067427290173;-0.4063846802762438;-0.6868781181735657;0.07894278669071454;-0.7181200366301373;0.41061905042107705;-0.10305645259388548;0.404954319675851;-0.2225913877085869;-0.4733053738366973;-0.2252530704138515;-0.3115308917882576;0.4948980301388028;-0.5275038496224908;0.5019281939303499;0.5887393198298019;-0.28219440789465244;0.713137169617693;5;2010;RN;Rio Grande do Norte;RN;-5.6070379999999975;-36.8261
RO-2000;-0.6347101181635632;-1.6604525393931742;0.17549334827244353;-1.7108637354704521;-1.4176629110722543;0.09745472921281871;-0.837417050794141;-0.8253145461612857;-3.824015356394681;2.3251164445609964;-3.309662343937045;0.3874186647385296;-0.018920348870304235;-0.2252530704138515;-0.2869722521436355;-0.2029708376771795;1.1149053749242417;-0.9803783221965836;-0.917754597884554;1.2076249914577701;-0.9970364263049596;1;2000;RO;Rondônia;RO;-11.474053;-62.226544999999994
RO-2010;-0.6775486377230463;0.14726367485993005;1.7599831548521616;-0.2678820234189251;-0.7358938975853131;-0.48353461808593867;0.20038174625692706;-1.111449006890519;-0.5315735238538482;0.6329972821200237;-0.20339218978288184;-0.9471534334832544;-0.5970849532341199;-1.2388918872761876;-1.4068462199383878;-0.7342031535730082;-0.22273786951763072;0.8485919783041882;0.31665011291193684;0.01755013261250823;0.4112799604972736;5;2010;RO;Rondônia;RO;-11.474053;-62.226544999999994
RR-2000;-0.8035198764349695;-1.9999027574865857;-1.4689389949273106;-0.6967587290216638;-1.2617674767489813;2.164496566643748;-0.9647107469563161;2.3493719651665304;-3.5254997662576195;1.8851288741707874;-1.4662275145799717;-0.7611579904273875;-0.7112577015274764;0.028156633801733198;0.9065776345849818;-0.13781970459561566;2.287905719621087;-0.9624074571203476;-0.7376955638947904;0.8603961673059106;-0.4869292959098272;1;2000;RR;Roraima;RR;2.148823;-61.412437
